osm_id,building,addr_full,name_ne,healthcare_speciality,source,addr_city,healthcare,capacity_persons,operator_type,name,amenity,longitude,latitude,geom_type
"1382985019",,,,,,,,,,Gorepani Comunal Healt Social Reform Group,hospital,83.6993752,28.3999274,POINT
"4711638797",,,,,,,dentist,,,Medical Dental Lab,dentist,83.6934088,28.4237114,POINT
"4261924702",,,,,Yoyo Preset,,hospital,,government,Health post,hospital,83.8098997,28.3755067,POINT
"4776716308",,,गौउँ घर क्लिनिक,,,,,,,Gau Ghar Clinic,clinic,83.953617,28.279375,POINT
"8279034304",,,,,yil2020,,,,,Charka Clinic,clinic,83.4097648,29.0905897,POINT
"2807805467",,,,,,,,,,MHP Hawangdi HP,hospital,83.132,28.23264,POINT
"2807805477",,,,,,,,,,MHP Sirseni SHP,hospital,83.09407,28.18656,POINT
"2807805480",,,,,,,,,,Madhane Community Health Center,hospital,83.0761906,28.2099002,POINT
"10920666705",,,,,,,,,,,hospital,83.9978221,28.2173152,POINT
"9517071818",,,,,,,,,,Aarshika Pharmacy,pharmacy,83.9766887,28.224543,POINT
"4798610256",,,,"orthodontics;dental_oral_maxillo_facial_surgery",,Pokhara,dentist,,,Smile Care and Dential Care,dentist,83.9896381,28.2260926,POINT
"5544259293",,,,,2cpokhara,,,,,Dyanamic Dental Clinic,dentist,83.9855375,28.2098315,POINT
"5509844246",,,,,2cpokhara,,pharmacy,,,Nava Trisana Surgical Suppliers,pharmacy,83.9898248,28.2219895,POINT
"5107320222",,,,,,,clinic,,,Siddartha Pathology Clinic,clinic,83.9860316,28.2182516,POINT
"5577883611",,,,,2c peset,,,,private,Re Life Ayurveda Hospital,pharmacy,83.9790598,28.2119398,POINT
"5510027511",,,,,,,,,,Prime Dental Care Centre,dentist,83.9904638,28.2260667,POINT
"5462506997",,,,,2c pokhara,,,,,Siddhartha Health Care ,clinic,83.984602,28.2242783,POINT
"5544259284",,,,,2cpokhara,,,,,Niti Niyam Medico Pharma,pharmacy,83.9849771,28.2083438,POINT
"5521528089",,,,,2cpokhara,,,,,Monal Pharmacy,pharmacy,83.9864544,28.2110012,POINT
"5508982886",,,,,2cpokhara,,,,,Srijana Medi Sales,pharmacy,83.9905795,28.2232858,POINT
"5469569856",,,,,2c pokhara,,,,,Vidhya Aayurveda Pharmacy,pharmacy,83.988553,28.2284088,POINT
"5470204413",,,,,,,,,,Subhatar Pharmacy,pharmacy,83.985901,28.2176641,POINT
"5462506980",,,,,2c pokhara,,,,,Babina Pharmacy,pharmacy,83.9881959,28.2264309,POINT
"5462506988",,,,,2c pokhara,,,,,Aayush Pharmacy,pharmacy,83.990362,28.2239039,POINT
"5463724230",,,,,2c pokhara,,,,,Sarita Aayurveda Aushhadhalaya,pharmacy,83.9870882,28.2292634,POINT
"5458108113",,,,,,,,,private,Subechha Pharmacy,pharmacy,83.9743128,28.2059044,POINT
"5425921620",,,,,,,,,,Padmashree Homeo Clinic,clinic,83.986655,28.2179173,POINT
"4287522936",,,स्किन एंड लेजर सेन्टर,dermatology,,,,,,Skin And Laser Centre,clinic,83.9866572,28.2179495,POINT
"4170743230",,,सुबी पार्मेसी,,,,,,,Sumi Pharmacy,pharmacy,83.998273,28.2114351,POINT
"4225209527",,,एपोलो मेडिकल हल,,,,,,,Apollo Medical Hall,pharmacy,83.9984829,28.2116612,POINT
"4296138332",,,डेण्टल कियर,,,,,,,The Dental Care,dentist,83.9907113,28.2232443,POINT
"4571467980",,,,,,,,,,Dip Jyoti Homiyo Pharmacy,pharmacy,83.9953359,28.2031324,POINT
"4172769746",,,आधिखोला मेडिकल हल,,,,,,,Aadhikhola Medical Hal,pharmacy,83.9950805,28.2026441,POINT
"4571467984",,,,,,,,,,Kiran Gurung Medical Hall,pharmacy,83.9949257,28.2014204,POINT
"10113431696",,,,,,,,,,,clinic,83.9986657,28.2023429,POINT
"8601267817",,,,,,,,,,,hospital,83.9731872,28.1983349,POINT
"5472132063",,,,,2cpokhara,,pharmacy,,,Dhirgau Medical Hall,pharmacy,83.9895166,28.179224,POINT
"4571467985",,,,,,,pharmacy,,,New Subharaj Medical Hall,pharmacy,83.9950938,28.2012586,POINT
"5456766170",,,बिन्दबासिनी डेन्टल केर,,2cpokhara,,,,,Bindabasini Dental Care,dentist,83.9703117,28.1919605,POINT
"5470351998",,,मङ्गलम फार्मेसी,,2cpokhara,,,,,Managalam Pharmacy,pharmacy,83.9704686,28.1964544,POINT
"5470524958",,,,,2cpokhara,,,,,Parajuli Medical,pharmacy,83.9738857,28.1955139,POINT
"7000701255",,,,,,"Annapurna Rural Municipality, Ward No. 5",health_post,,,Samudayek Swasthiye Ikai,hospital,83.770823,28.2920259,POINT
"4795961228",,,,,,,,,,Shristi Medical Hall,pharmacy,83.7681647,28.2988447,POINT
"6970851459",,,,,,,,,,Royal Medical Hall,pharmacy,83.7681817,28.2988746,POINT
"1512438687",,,,,,,,,,Sub Healthpost,hospital,83.7496382,28.0475418,POINT
"2807805464",,,,,,,,,,MHP Dubichaur SHP,hospital,83.272374,28.0477388,POINT
"5153124523",,,,,,,,,,,clinic,83.6501338,28.5315678,POINT
"6126020571",,,,,,,,,,,hospital,83.8641099,28.8154996,POINT
"6059328185",,,,,,Modi Gaunpalika,,,,Gwangju Clinic,hospital,83.7426082,28.2738722,POINT
"9516302917",,,,,,,,,,Bisesh Eye  Clinic,clinic,83.7432257,28.2737164,POINT
"6953251052",,,,,,"Annapurna Rural Mun,1",,,,Gaughar Clinic,clinic,83.8733827,28.2793219,POINT
"6065816841",,,,,,,,,,Nabin Medicals,pharmacy,83.7433193,28.273946,POINT
"2824322300",,,,,,,,,,PMTCT Center,hospital,83.8739627,28.1050724,POINT
"5162944321",,,,,,,,,,,clinic,83.6836406,28.739427,POINT
"5458223826",,,मार्फा स्वास्थ्य चौकि,,,,,,,,clinic,83.6855583,28.7488645,POINT
"4666610089",,,,,,,,,,International Medicare and Assistance Centre,clinic,83.9649744,28.2110532,POINT
"4595643910",,,सयपत्री मेडिकल हल,,2C Pokhara Field Data Collection,,,,,Sayapatri Medical Hall,pharmacy,83.9598114,28.2064503,POINT
"4595904440",,,,,2C Pokhara Field Data Collection,,,,,Milap Pharmacy,pharmacy,83.9578112,28.2085264,POINT
"6052834336",,,,,Yoyo preset,Modi Rural Municipality,,,government,Lespar Health Post,hospital,83.6725891,28.318922,POINT
"9619748630",,,,,,,,,,Narayansthan Health Post,clinic,83.6659259,28.2159774,POINT
"9619748634",,,,,,,,,,Bhakunde Health Post,clinic,83.598699,28.2437563,POINT
"9619748635",,,,,,,,,,Tityang Health Post,clinic,83.5758191,28.2517517,POINT
"9619748642",,,,,,,,,,Muktinath Hospital,hospital,83.5984623,28.2677391,POINT
"9619748647",,,,,,,,,,Dhaulagiri Hospital,hospital,83.6009319,28.2687121,POINT
"6518458611",,,,,,pokhara,hospital,,,Sahara Hospital,hospital,83.679034,28.2204975,POINT
"10120127917",,,,,,,,,,Tinje Health Post,hospital,83.2597374,29.3037224,POINT
"8758229000",,,,general,,,hospital,,,Kuhun Health-post,hospital,83.4853005,28.3963622,POINT
"9783640034",,,,,,,,,,Syaule Health Post,clinic,85.6930486,27.8124164,POINT
"9783640043",,,,,,,,,,Batase Basic Health Care Center,clinic,85.7571467,27.8023889,POINT
"3589367214",,,,,,,,,,Lagarche Health Post,hospital,85.6161532,27.8684531,POINT
"9772752839",,,,,,,,,,Sindhukot swasthe chauki,clinic,85.5170881,27.8157312,POINT
"9772752840",,,,,,,,,,Katunge sahari swasthe,clinic,85.5503312,27.8331436,POINT
"9772752841",,,,,,,,,,Melamchi phc,clinic,85.5751098,27.8314197,POINT
"9772752842",,,,,,,,,,Indrawati Dental Clinic,dentist,85.5762773,27.829607,POINT
"9772752843",,,,,,,,,,Melamchi polyclinic and research center,clinic,85.5731934,27.831683,POINT
"10259711509",,,,,,,,,,,pharmacy,85.8634847,27.5013059,POINT
"9523779646",,,,,,,,,,,clinic,85.5297,27.5834,POINT
"9800575598",,,,,,,,,,Netra Ganj Health Post 1 Lalbandhi MP,clinic,85.5928268,27.0659847,POINT
"9800575571",,,,,,,,,,Model Hospital Nawalpur 1 Lalbanhi MP,hospital,85.5879898,27.0673409,POINT
"9800575573",,,,,,,,,,Gadpati Hospital P.V.T 1 Lalbandhi MP,hospital,85.5887375,27.0670795,POINT
"9800575568",,,,,,,,,,Manisha Health Care Pvt. Ltd.,clinic,85.5876312,27.0689983,POINT
"9800575574",,,,,,,,,,Anamika Health Care P.V.T 1 Lalbandhi MP,clinic,85.5865936,27.0701866,POINT
"9800575592",,,,,,,,,,Aayansh Prathamik Clinic Center,clinic,85.6034164,27.0400009,POINT
"9800575595",,,,,,,,,,Lalbandhi Aadharbhut Health Care Center 2 Lalbandhi MP,clinic,85.5862808,27.0512505,POINT
"9800575596",,,,,,,,,,Jutpani Primary Health Care Center 2 Lalbandhi MP,clinic,85.582901,27.0547619,POINT
"9800535085",,,,,,,,,,Basic Health Care Center,clinic,85.5943224,27.0311136,POINT
"9800575594",,,,,,,,,,Nagar Swasthy Shahari Clinic 3 Lalbandhi MP,clinic,85.6130981,27.0206852,POINT
"9800535082",,,,,,,,,,Ausanwa Basic Health Post,clinic,85.5960464,26.9898186,POINT
"9800535081",,,,,,,,,,Haraiya Basic Health Hospital,clinic,85.5791855,26.983284,POINT
"9800535087",,,,,,,,,,"Haripu Basic Health Center, pachgachhiya",clinic,85.5827266,27.0173246,POINT
"9800575567",,,,,,,,,,Sarlahi Health Care Nawalpur 1 Lalbandhi MP,clinic,85.5859299,27.07094,POINT
"9800575569",,,,,,,,,,Jaya Health Clinic P.V.T 1 Lalbandhi MP,clinic,85.5860748,27.0707321,POINT
"9800575570",,,,,,,,,,Anjali Policlini P.V.T 1 Lalbandhi MP,clinic,85.5862503,27.0705128,POINT
"9800575575",,,,,,,,,,Bhawani Health Care P.V.T 1 Lalbandhi MP,clinic,85.5868149,27.0705013,POINT
"9800575583",,,,,,,,,,Primari Health Clinic 11 Lalbandhi MP,clinic,85.6418488,27.0798276,POINT
"9800575584",,,,,,,,,,Community Health Post,clinic,85.6311417,27.0660114,POINT
"9800575588",,,,,,,,,,Gllobal Health Care Center 7 Lalbandhi MP,clinic,85.6307839,27.0542203,POINT
"9800575590",,,,,,,,,,Ravi Dental Clinic 7 Lalbandhi MP,dentist,85.6292572,27.0540714,POINT
"9800575591",,,,,,,,,,Aadharbhut Health Center,clinic,85.6387253,27.0520935,POINT
"9800575580",,,,,,,,,,Shidharth Praimary Health Post 16 Lalbandhi MP,clinic,85.7228608,27.087018,POINT
"9791970468",,,,,,,,,,Subah Swastik Hospital PVT,clinic,85.8912354,26.9898338,POINT
"9791970469",,,,,,,,,,D N B,clinic,85.8890762,26.987215,POINT
"9791970472",,,,,,,,,,Jhaure Bhangree Nagar Health Post,clinic,85.8304901,27.1086941,POINT
"9791970473",,,,,,,,,,Health Post Hathilet,clinic,85.8504181,26.9367409,POINT
"9791970474",,,,,,,,,,Kisannagar Swasthya Chauwki,clinic,85.8991547,26.933279,POINT
"9791970475",,,,,,,,,,Maithan Swasthya Chauki,clinic,85.8669205,27.0436592,POINT
"9791970477",,,,,,,,,,Sarpa Dansk Upachar Kendra,clinic,85.9050369,27.0046825,POINT
"9791970481",,,,,,,,,,Gauridanda Dental Hospital,dentist,85.9024963,26.9978065,POINT
"9791970482",,,,,,,,,,National Aayurveda Research Center,hospital,85.8820953,26.97365,POINT
"9791970483",,,,,,,,,,Bardibas Hospital,hospital,85.8795624,26.9739208,POINT
"9791970486",,,,,,,,,,Bardibas Health Clinic,hospital,85.8950119,26.9900837,POINT
"9791970488",,,,,,,,,,Balmaitri Polyclinic,hospital,85.8961868,26.9924927,POINT
"1417852753",,,,,Garmin Orgeon 450 GPS,,,,,Red Cross,hospital,85.5134905,27.5840061,POINT
"2001324157",,,,,,,,,,machhe pharmacy,pharmacy,85.5139164,27.5868324,POINT
"9526157374",,,,,,,,,,,pharmacy,85.5133162,27.5864,POINT
"9526157401",,,,,,,rehabilitation,,,,,85.504386,27.5780606,POINT
"10230034902",,,नयाँ फार्मेसी,,,,,,,Naya Pharmacy,pharmacy,85.5140125,27.6426914,POINT
"10230034915",,,,,,,,,,Cichi Medical Hall,pharmacy,85.5108232,27.6537322,POINT
"10230034942",,,,,,,,,,Sadbhav Community Hospital,hospital,85.5113525,27.6538611,POINT
"9800601625",,,,,,,,,,Janakinagar Health Post,clinic,85.5038071,27.004631,POINT
"9800606273",,,,,,,,,,Padaria Health Post,clinic,85.5034332,26.913168,POINT
"9800606275",,,,,,,,,,Basic Health Post Center Shivanagar,clinic,85.5002226,26.925114,POINT
"9800606272",,,,,,,,,,Health post Birthing Center,clinic,85.5003662,26.888567,POINT
"3458928954",,,,,,,,,,,pharmacy,85.4966857,27.7498202,POINT
"10230034892",,,,,,,,,,Rural Pharmacy,pharmacy,85.5065742,27.6543382,POINT
"3156343839",,,,,,,,,,Baidhya Sher Bahadur Memorial Polyclinic (p) Ltd.,clinic,85.525507,27.6299331,POINT
"1767445004",,,,,,,,,,Krishna Prasad Hospital,hospital,85.5237477,27.6296267,POINT
"9784655249",,,,,Field Survey,,,,,,pharmacy,85.5237534,27.6303352,POINT
"10290586310",,,,,,,,,,,dentist,85.5241489,27.6301921,POINT
"10230034912",,,,,,,,,,Janta Paharmacy,pharmacy,85.5235195,27.6317711,POINT
"10230034910",,,,,,,,,,Ganesthan Medical Hall,pharmacy,85.5242469,27.6317592,POINT
"9960917283",,,,,,,,,,abc health care,pharmacy,85.5241723,27.6316932,POINT
"9960932621",,,,,,,,,,Aaurved,pharmacy,85.5227454,27.6322912,POINT
"9784655242",,,,,Field Survey,,,,,,hospital,85.5229136,27.6312461,POINT
"10230034907",,,,,,,,,,A. Homoeo Pharmacy,pharmacy,85.5229774,27.6311808,POINT
"9784655248",,,,,Field Survey,,laboratory,,,,,85.5234958,27.630357,POINT
