Country,Region
India,West Bengal(I)
China,North(C)
France,Ile-de-France(F)
Canada,Prairies(C)
India,Tamil Nadu(I)
USA,Midwest(U)
Argentina,Northeast(A)
Australia,New South Wales(A)
India,Punjab(I)
Nigeria,North West(N)
Nigeria,South East(N)
France,Grand Est(F)
Russia,Northwestern(R)
USA,Northeast(U)
Brazil,North(B)
Brazil,Northeast(B)
Russia,Siberian(R)
Argentina,Northwest(A)
Australia,Victoria(A)
France,Nouvelle-Aquitaine(F)
USA,South(U)
Canada,Quebec(C)
Brazil,Southeast(B)
Canada,Ontario(C)
China,East(C)
China,South(C)
Argentina,Pampas(A)
Australia,Western Australia(A)
Russia,Volga(R)
Brazil,South(B)
India,Maharashtra(I)
France,Provence-Alpes-Cote d’Azur(F)
USA,West(U)
Russia,Central(R)
Nigeria,North Central(N)
Argentina,Patagonia(A)
Australia,Queensland(A)
Nigeria,South West(N)
Canada,British Columbia(C)
China,Central(C)
