Country,Region
India,West Bengal
China,North
France,Ile-de-France
Canada,Prairies
India,Tamil Nadu
USA,Midwest
Argentina,Northeast
Australia,New South Wales
India,Punjab
Nigeria,North West
Nigeria,South East
France,Grand Est
Russia,Northwestern
USA,Northeast
Brazil,North
Brazil,Northeast
Russia,Siberian
Argentina,Northwest
Australia,Victoria
France,Nouvelle-Aquitaine
USA,South
Canada,Quebec
Brazil,Southeast
Canada,Ontario
China,East
China,South
Argentina,Pampas
Australia,Western Australia
Russia,Volga
Brazil,South
India,Maharashtra
France,Provence-Alpes-Cote d’Azur
USA,West
Russia,Central
Nigeria,North Central
Argentina,Patagonia
Australia,Queensland
Nigeria,South West
Canada,British Columbia
China,Central
