feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Bachelors,2017,3,34,Male,No,0,0
Bachelors,2013,1,28,Female,No,3,1
Bachelors,2014,3,38,Female,No,2,0
Masters,2016,3,27,Male,No,5,1
Masters,2017,3,24,Male,Yes,2,1
Bachelors,2016,3,22,Male,No,0,0
Bachelors,2015,3,38,Male,No,0,0
Bachelors,2016,3,34,Female,No,2,1
Bachelors,2016,3,23,Male,No,1,0
Masters,2017,2,37,Male,No,2,0
Masters,2012,3,27,Male,No,5,1
Bachelors,2016,3,34,Male,No,3,0
Bachelors,2018,3,32,Male,Yes,5,1
Bachelors,2016,3,39,Male,No,2,0
Bachelors,2012,3,37,Male,No,4,0
Bachelors,2017,1,29,Male,No,3,0
Bachelors,2014,3,34,Female,No,2,0
Bachelors,2014,3,34,Male,No,4,0
Bachelors,2015,2,30,Female,No,0,1
Bachelors,2016,2,22,Female,No,0,1
Bachelors,2012,3,37,Male,No,0,0
Masters,2017,2,28,Male,No,4,0
Bachelors,2017,2,36,Male,No,3,0
Bachelors,2015,3,27,Male,Yes,5,0
Bachelors,2017,3,29,Male,No,4,0
Bachelors,2013,3,22,Female,Yes,0,0
Bachelors,2016,3,37,Male,No,2,0
Bachelors,2015,3,23,Male,No,1,0
Bachelors,2013,2,31,Female,No,2,1
Masters,2017,2,30,Female,No,2,0
PHD,2013,3,25,Male,No,3,0
Bachelors,2014,3,23,Male,No,1,0
Bachelors,2018,3,26,Male,No,4,1
Bachelors,2016,3,40,Male,No,5,0
Bachelors,2017,2,37,Female,No,0,1
Bachelors,2014,1,30,Female,No,3,0
Bachelors,2012,3,29,Male,No,3,0
Bachelors,2018,2,34,Female,No,0,1
Bachelors,2017,2,29,Female,No,2,1
Bachelors,2014,3,30,Male,Yes,4,0
Bachelors,2015,3,36,Male,No,1,0
Masters,2017,2,23,Male,No,1,0
Bachelors,2013,3,30,Male,No,3,1
Bachelors,2014,3,36,Male,No,0,0
Bachelors,2015,3,39,Male,No,4,0
Bachelors,2014,3,23,Female,No,1,0
PHD,2012,3,27,Male,No,5,0
Masters,2013,3,35,Male,No,2,0
Masters,2017,2,34,Male,No,0,0
Bachelors,2013,3,30,Female,No,1,0
PHD,2017,3,34,Male,No,2,0
Bachelors,2015,2,26,Female,No,4,1
Bachelors,2016,3,34,Female,No,0,0
Bachelors,2014,3,31,Female,Yes,5,0
Bachelors,2017,3,31,Female,Yes,5,0
PHD,2013,3,28,Male,No,2,0
Bachelors,2016,3,38,Male,No,2,0
Masters,2014,3,39,Female,No,2,0
Bachelors,2013,3,32,Male,No,4,0
Masters,2017,2,36,Male,No,2,1
Masters,2013,3,29,Male,No,3,0
Bachelors,2015,3,30,Male,No,5,0
PHD,2013,2,25,Male,No,3,1
Bachelors,2014,1,22,Female,No,0,1
Bachelors,2016,3,34,Male,No,4,0
Bachelors,2018,3,40,Male,No,1,1
PHD,2013,3,26,Male,No,4,0
Bachelors,2014,3,28,Male,No,0,0
Bachelors,2015,3,24,Female,No,2,0
Masters,2017,3,40,Female,No,2,1
Bachelors,2018,3,23,Female,No,1,1
Masters,2017,3,31,Male,No,4,0
Bachelors,2014,3,25,Female,No,3,0
Bachelors,2014,1,27,Male,No,5,0
Masters,2017,2,25,Female,No,3,1
Bachelors,2015,3,40,Male,No,0,1
Bachelors,2014,1,23,Female,No,1,0
Bachelors,2017,3,23,Female,No,1,0
Bachelors,2012,3,39,Male,No,1,0
PHD,2015,1,37,Male,No,1,0
