FIRE_NAME,FIRE_YEAR,SOURCE_REPORTING_UNIT_NAME,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE,STATE
POWER,2004,"Eldorado National Forest","Equipment Use",16823.0,38.52333333,-120.21166667,CA
FREDS,2004,"Eldorado National Forest","Equipment Use",7700.0,38.78,-120.26,CA
THREE,2005,"Tonto National Forest",Lightning,16100.0,33.72333333,-111.275,AZ
NINE,2005,"Sequoia National Forest",Miscellaneous,1149.0,35.68805556,-118.43833333,CA
OAK,2005,"Tonto National Forest",Lightning,1300.0,33.93361111,-111.37972222,AZ
"TW0 BAR",2005,"Tonto National Forest",Lightning,2093.0,33.55111111,-111.10666667,AZ
"SAWMILL GULCH",2005,"Custer National Forest",Lightning,1199.0,45.30833333,-106.35833333,MT
FORK,2005,"Gila National Forest",Lightning,11936.0,33.61333333,-108.55888889,NM
"ERICKSON SPRING",2005,"Custer National Forest",Lightning,2700.0,45.44833333,-105.95527778,MT
MASON,2005,"Pike San Isabel National Forest",Lightning,11357.0,38.16972222,-105.03805556,CO
"BURNT CABIN",2005,"Umatilla National Forest",Miscellaneous,1977.0,45.84083333,-118.06777778,OR
RICCO,2005,"Black Hills National Forest",Lightning,3959.0,44.19361111,-103.39388889,SD
CEMENT,2005,"Black Hills National Forest",Lightning,3025.0,44.37194444,-104.17416667,WY
"HALE GULCH",2005,"Salmon-Challis National Forest",Lightning,2643.0,45.38805556,-114.21,ID
"SNAKE RIDGE FIRE",2005,"Apache-Sitgreaves National Forest",Lightning,1900.0,33.16972222,-109.19055556,AZ
"STODDARD CREEK POINT",2005,"Salmon-Challis National Forest",Lightning,4004.0,45.24861111,-114.72277778,ID
"BIG SANDS",2005,"Clearwater National Forest",Lightning,2398.0,46.3425,-114.58777778,ID
"ALPINE LAKE",2005,"Superior National Forest",Lightning,1335.0,48.14,-90.96777778,MN
"RUNNING LAKE",2005,"Nezperce National Forest",Lightning,7404.0,45.92333333,-115.025,ID
"CEDAR BAREFOOT",2005,"Bitterroot National Forest",Lightning,1777.5,45.88083333,-114.63972222,ID
"LODGEPOLE HUMP",2005,"Bitterroot National Forest",Lightning,1981.5,46.69611111,-114.90138889,ID
"MILL CREEK",2005,"Dixie National Forest",Lightning,7892.0,37.17388889,-113.53833333,UT
BOXCAR,2005,"Nezperce National Forest",Lightning,1818.0,45.92777778,-114.95833333,ID
"BEAVER JACK",2005,"Bitterroot National Forest",Lightning,7244.4,45.73027778,-114.70666667,ID
BURNT,2005,"Nezperce National Forest",Lightning,4530.0,45.7,-115.01,ID
"CHINA TEN",2005,"Nezperce National Forest",Lightning,1859.0,45.93222222,-115.78583333,ID
HARDING,2005,"Tahoe National Forest",Miscellaneous,2270.0,39.61222222,-120.35166667,CA
"KELLY POINT",2005,"Flathead National Forest",Campfire,3875.0,47.73305556,-113.37555556,MT
SCHOOL,2005,"Umatilla National Forest",Miscellaneous,52000.0,46.23444444,-117.68055556,WA
HASTINGS,2005,"Humboldt National Forest",Lightning,1180.3,40.28638889,-115.61611111,NV
"ELK CREEK",2005,"Nezperce National Forest",Lightning,1335.0,45.97472222,-114.88583333,ID
PENNY,2005,"Nezperce National Forest",Lightning,1067.0,46.02055556,-114.86555556,ID
"NINE SHOT",2005,"Salmon-Challis National Forest",Lightning,20400.0,45.09055556,-114.70361111,ID
"REYNOLDS LAKE",2005,"Salmon-Challis National Forest",Lightning,4010.0,45.5325,-114.58722222,ID
MUSTANG,2005,"Salmon-Challis National Forest",Lightning,1040.0,45.42527778,-114.61638889,ID
"BLACK CANYON FACE",2005,"Clearwater National Forest",Lightning,2000.0,46.80027778,-115.21,ID
"CAP KNOB",2005,"Daniel Boone National Forest",Arson,1555.0,36.61222222,-84.24305556,KY
"NORTH ROAD",2005,"Humboldt National Forest","Debris Burning",12855.0,41.99555556,-117.63888889,NV
GREGORY,2005,"Boise National Forest","Equipment Use",1132.0,43.82055556,-115.89555556,ID
"RIO BLANCO WFU",2005,"San Juan National Forest",Lightning,1182.0,37.15583333,-106.88444444,CO
WOOLEY,2005,"Klamath National Forest",Miscellaneous,3225.0,41.49972222,-123.27638889,CA
